case_id,title,sourceKey,officialCategory,expectedFamily,conflictUnknown,requiresManualReview,annotatorA,annotatorB,disagreementResolution,labeledAt
JFC-001,产品经理实习生,gold-product-01,产品,product,known,false,known:product,known:product,A/B一致-冻结规则裁决,2026-07-30
JFC-002,策略产品实习生,gold-product-02,产品,product,known,false,known:product,known:product,A/B一致-冻结规则裁决,2026-07-30
JFC-003,需求分析实习生,gold-product-03,产品,product,known,false,known:product,known:product,A/B一致-冻结规则裁决,2026-07-30
JFC-004,产品运营实习生,gold-product-04,产品,product|operations,conflict,true,conflict:product|operations,conflict:product|operations,A/B一致-冻结规则裁决,2026-07-30
JFC-005,内容运营实习生,gold-operations-01,运营,operations,known,false,known:operations,known:operations,A/B一致-冻结规则裁决,2026-07-30
JFC-006,用户增长实习生,gold-operations-02,运营,operations,known,false,known:operations,known:operations,A/B一致-冻结规则裁决,2026-07-30
JFC-007,社区运营实习生,gold-operations-03,,operations,known,true,known:operations,known:operations,A/B一致-冻结规则裁决,2026-07-30
JFC-008,直播运营实习生,gold-operations-04,市场营销,marketing|operations,conflict,true,conflict:marketing|operations,conflict:marketing|operations,A/B一致-冻结规则裁决,2026-07-30
JFC-009,后端开发工程师实习生,gold-engineering-01,技术,engineering,known,false,known:engineering,known:engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-010,软件测试工程师实习生,gold-engineering-02,技术,engineering,known,false,known:engineering,known:engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-011,前端开发实习生,gold-engineering-03,,engineering,known,true,known:engineering,known:engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-012,数据工程师实习生,gold-engineering-04,技术,engineering,known,false,known:engineering,known:engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-013,算法工程师实习生,gold-data-ai-01,算法,data_ai|engineering,conflict,true,conflict:data_ai|engineering,conflict:data_ai|engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-014,机器学习算法实习生,gold-data-ai-02,数据与AI,data_ai,known,false,known:data_ai,known:data_ai,A/B一致-冻结规则裁决,2026-07-30
JFC-015,数据分析实习生,gold-data-ai-03,数据,data_ai,known,false,known:data_ai,known:data_ai,A/B一致-冻结规则裁决,2026-07-30
JFC-016,AI平台产品经理实习生,gold-data-ai-04,产品,product|data_ai,conflict,true,conflict:product|data_ai,conflict:product|data_ai,A/B一致-冻结规则裁决,2026-07-30
JFC-017,视觉设计实习生,gold-design-01,设计,design,known,false,known:design,known:design,A/B一致-冻结规则裁决,2026-07-30
JFC-018,UI设计师实习生,gold-design-02,设计,design,known,false,known:design,known:design,A/B一致-冻结规则裁决,2026-07-30
JFC-019,交互设计实习生,gold-design-03,,design,known,true,known:design,known:design,A/B一致-冻结规则裁决,2026-07-30
JFC-020,产品质检工程师实习生,gold-design-04,供应链,supply_chain_manufacturing|engineering,conflict,true,conflict:supply_chain_manufacturing|engineering,conflict:supply_chain_manufacturing|engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-021,品牌营销实习生,gold-marketing-01,市场,marketing,known,false,known:marketing,known:marketing,A/B一致-冻结规则裁决,2026-07-30
JFC-022,公共关系实习生,gold-marketing-02,市场营销,marketing,known,false,known:marketing,known:marketing,A/B一致-冻结规则裁决,2026-07-30
JFC-023,内容营销实习生,gold-marketing-03,,marketing,known,true,known:marketing,known:marketing,A/B一致-冻结规则裁决,2026-07-30
JFC-024,市场数据分析实习生,gold-marketing-04,市场,marketing|data_ai,conflict,true,conflict:marketing|data_ai,conflict:marketing|data_ai,A/B一致-冻结规则裁决,2026-07-30
JFC-025,销售实习生,gold-sales-01,销售,sales_business,known,false,known:sales_business,known:sales_business,A/B一致-冻结规则裁决,2026-07-30
JFC-026,商务拓展实习生,gold-sales-02,商务,sales_business,known,false,known:sales_business,known:sales_business,A/B一致-冻结规则裁决,2026-07-30
JFC-027,客户成功实习生,gold-sales-03,,sales_business,known,true,known:sales_business,known:sales_business,A/B一致-冻结规则裁决,2026-07-30
JFC-028,销售运营实习生,gold-sales-04,销售,sales_business|operations,conflict,true,conflict:sales_business|operations,conflict:sales_business|operations,A/B一致-冻结规则裁决,2026-07-30
JFC-029,财务分析实习生,gold-finance-01,财务,finance,known,false,known:finance,known:finance,A/B一致-冻结规则裁决,2026-07-30
JFC-030,审计实习生,gold-finance-02,财务,finance,known,false,known:finance,known:finance,A/B一致-冻结规则裁决,2026-07-30
JFC-031,税务实习生,gold-finance-03,财务,finance,known,false,known:finance,known:finance,A/B一致-冻结规则裁决,2026-07-30
JFC-032,金融产品经理实习生,gold-finance-04,财务,finance|product,conflict,true,conflict:finance|product,conflict:finance|product,A/B一致-冻结规则裁决,2026-07-30
JFC-033,人力资源实习生,gold-people-01,人力资源,people_admin_legal,known,false,known:people_admin_legal,known:people_admin_legal,A/B一致-冻结规则裁决,2026-07-30
JFC-034,法务实习生,gold-people-02,法务,people_admin_legal,known,false,known:people_admin_legal,known:people_admin_legal,A/B一致-冻结规则裁决,2026-07-30
JFC-035,行政实习生,gold-people-03,行政,people_admin_legal,known,false,known:people_admin_legal,known:people_admin_legal,A/B一致-冻结规则裁决,2026-07-30
JFC-036,AI招聘实习生,gold-people-04,人力资源,people_admin_legal|data_ai,conflict,true,conflict:people_admin_legal|data_ai,conflict:people_admin_legal|data_ai,A/B一致-冻结规则裁决,2026-07-30
JFC-037,行业研究实习生,gold-research-01,研究,research_consulting,known,false,known:research_consulting,known:research_consulting,A/B一致-冻结规则裁决,2026-07-30
JFC-038,管理咨询实习生,gold-research-02,咨询,research_consulting,known,false,known:research_consulting,known:research_consulting,A/B一致-冻结规则裁决,2026-07-30
JFC-039,战略分析实习生,gold-research-03,研究,research_consulting,known,false,known:research_consulting,known:research_consulting,A/B一致-冻结规则裁决,2026-07-30
JFC-040,量化研究实习生,gold-research-04,研究,research_consulting,known,false,known:research_consulting,known:research_consulting,A/B一致-冻结规则裁决,2026-07-30
JFC-041,采购实习生,gold-supply-01,供应链,supply_chain_manufacturing,known,false,known:supply_chain_manufacturing,known:supply_chain_manufacturing,A/B一致-冻结规则裁决,2026-07-30
JFC-042,制造工艺实习生,gold-supply-02,制造,supply_chain_manufacturing,known,false,known:supply_chain_manufacturing,known:supply_chain_manufacturing,A/B一致-冻结规则裁决,2026-07-30
JFC-043,物流实习生,gold-supply-03,,supply_chain_manufacturing,known,true,known:supply_chain_manufacturing,known:supply_chain_manufacturing,A/B一致-冻结规则裁决,2026-07-30
JFC-044,质量工程师实习生,gold-supply-04,供应链,supply_chain_manufacturing|engineering,conflict,true,conflict:supply_chain_manufacturing|engineering,conflict:supply_chain_manufacturing|engineering,A/B一致-冻结规则裁决,2026-07-30
JFC-045,员工体验专员实习生,gold-other-01,其他,other,known,false,known:other,known:other,A/B一致-冻结规则裁决,2026-07-30
